ok  	github.com/CIPFZ/rdev/cmd/rdev	0.019s
ok  	github.com/CIPFZ/rdev/cmd/rdev-agent	47.054s
ok  	github.com/CIPFZ/rdev/cmd/rdevd	8.919s
ok  	github.com/CIPFZ/rdev/internal/broker	6.854s
ok  	github.com/CIPFZ/rdev/internal/buildinfo	0.014s
ok  	github.com/CIPFZ/rdev/internal/client	0.537s
ok  	github.com/CIPFZ/rdev/internal/framewriter	0.084s
ok  	github.com/CIPFZ/rdev/internal/mcpsrv	5.548s
ok  	github.com/CIPFZ/rdev/internal/observe	0.044s
ok  	github.com/CIPFZ/rdev/internal/proto	0.018s
ok  	github.com/CIPFZ/rdev/internal/secrets	0.021s
ok  	github.com/CIPFZ/rdev/internal/session	11.964s
ok  	github.com/CIPFZ/rdev/internal/state	0.107s
ok  	github.com/CIPFZ/rdev/internal/storage	0.051s
ok  	github.com/CIPFZ/rdev/internal/support	0.017s
ok  	github.com/CIPFZ/rdev/internal/transport	3.063s
