ok  	github.com/CIPFZ/rdev/cmd/rdev	1.017s
ok  	github.com/CIPFZ/rdev/cmd/rdev-agent	52.130s
ok  	github.com/CIPFZ/rdev/cmd/rdevd	9.432s
ok  	github.com/CIPFZ/rdev/internal/broker	6.646s
ok  	github.com/CIPFZ/rdev/internal/buildinfo	1.015s
ok  	github.com/CIPFZ/rdev/internal/client	1.526s
ok  	github.com/CIPFZ/rdev/internal/framewriter	1.086s
ok  	github.com/CIPFZ/rdev/internal/mcpsrv	6.500s
ok  	github.com/CIPFZ/rdev/internal/observe	1.050s
ok  	github.com/CIPFZ/rdev/internal/proto	1.027s
ok  	github.com/CIPFZ/rdev/internal/secrets	1.042s
ok  	github.com/CIPFZ/rdev/internal/session	8.983s
ok  	github.com/CIPFZ/rdev/internal/state	1.089s
ok  	github.com/CIPFZ/rdev/internal/storage	1.054s
ok  	github.com/CIPFZ/rdev/internal/support	1.025s
ok  	github.com/CIPFZ/rdev/internal/transport	3.798s
