ok  	github.com/CIPFZ/rdev/cmd/rdev	1.018s
ok  	github.com/CIPFZ/rdev/cmd/rdev-agent	52.572s
ok  	github.com/CIPFZ/rdev/cmd/rdevd	10.221s
ok  	github.com/CIPFZ/rdev/internal/broker	6.366s
ok  	github.com/CIPFZ/rdev/internal/buildinfo	1.014s
ok  	github.com/CIPFZ/rdev/internal/client	1.541s
ok  	github.com/CIPFZ/rdev/internal/framewriter	1.083s
ok  	github.com/CIPFZ/rdev/internal/mcpsrv	6.463s
ok  	github.com/CIPFZ/rdev/internal/observe	1.047s
ok  	github.com/CIPFZ/rdev/internal/proto	1.023s
ok  	github.com/CIPFZ/rdev/internal/secrets	1.024s
ok  	github.com/CIPFZ/rdev/internal/session	12.977s
ok  	github.com/CIPFZ/rdev/internal/state	1.100s
ok  	github.com/CIPFZ/rdev/internal/storage	1.044s
ok  	github.com/CIPFZ/rdev/internal/support	1.019s
ok  	github.com/CIPFZ/rdev/internal/transport	4.068s
